Sensor.Gene	Sensor.Name	Sensor.Type	Sensor.Pathway	HMDB.ID	Metabolite.Name	Metabolite.Class	Metabolite.Pathway	Long.Range.Channel	Evidences	Sources
ABCC2	ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2875: Constitutive androstane receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0000638	Dodecanoic acid	Lipids and lipid-like molecules	Biosynthesis of unsaturated fatty acids	Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine	28532626	MetaChatDB
ABCC2	ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2875: Constitutive androstane receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0000643	Coproporphyrin I	Organoheterocyclic compounds	Porphyrin Metabolism	Blood,Urine	24433481	MetaChatDB
ABCC3	ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2875: Constitutive androstane receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0001032	Dehydroepiandrosterone sulfate	Lipids and lipid-like molecules	Androgen and Estrogen Metabolism	Blood,Feces,Urine	29695968	MetaChatDB
ABCC3	ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2875: Constitutive androstane receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0000626	Deoxycholic acid	Lipids and lipid-like molecules	Primary bile acid biosynthesis	Bile,Blood,Feces,Urine	38566304	MetalinkDB
ABCC4	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2882: Nuclear receptors meta-pathway; WP98: Prostaglandin synthesis and regulation	HMDB0001314	Cyclic GMP	Nucleosides, nucleotides, and analogues		Blood,Cerebrospinal Fluid (CSF)	38347095	MetaChatDB
ABCC4	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2882: Nuclear receptors meta-pathway; WP98: Prostaglandin synthesis and regulation	HMDB0000058	Cyclic AMP	Nucleosides, nucleotides, and analogues	Purine metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Urine	40148998	MetaChatDB
ABCC4	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2882: Nuclear receptors meta-pathway; WP98: Prostaglandin synthesis and regulation	HMDB0001442	Prostaglandin E1	Lipids and lipid-like molecules		Blood	12835412	MetaChatDB
ABCC4	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2882: Nuclear receptors meta-pathway; WP98: Prostaglandin synthesis and regulation	HMDB0000289	Uric acid	Organoheterocyclic compounds	Purine metabolism	Amniotic Fluid,Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	15454390	MetaChatDB
ABCC4	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2882: Nuclear receptors meta-pathway; WP98: Prostaglandin synthesis and regulation	HMDB0006224	17-beta-Estradiol-3-glucuronide	Lipids and lipid-like molecules	Androgen and Estrogen Metabolism	Blood,Urine	34693929	MetaChatDB
ABCC4	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP5066: FOXA2 pathway; WP2876: Pregnane X receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2882: Nuclear receptors meta-pathway; WP98: Prostaglandin synthesis and regulation	HMDB0001220	Prostaglandin E2	Lipids and lipid-like molecules	Arachidonic Acid Metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Urine	39247809; 17959714	MetaChatDB
ABCC5	ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP) (pABC11)	transporter	WP2884: NRF2 pathway; WP1780: ABC-family proteins mediated transport; WP2882: Nuclear receptors meta-pathway	HMDB0000058	Cyclic AMP	Nucleosides, nucleotides, and analogues	Purine metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Urine	10893247	MetaChatDB
ABCC6	ATP-binding cassette sub-family C member 6 (EC 7.6.2.-) (EC 7.6.2.3) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E) (Multidrug resistance-associated protein 6)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling; WP1780: ABC-family proteins mediated transport	HMDB0001198	Leukotriene C4	Organic acids and derivatives	Arachidonic Acid Metabolism	Blood,Cerebrospinal Fluid (CSF)	7961706	MetaChatDB
ABCC8	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	receptor,transporter	WP2669: Potassium Channels	HMDB0000058	Cyclic AMP	Nucleosides, nucleotides, and analogues	Purine metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Urine	29884750	MetalinkDB
ABCC8	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	receptor,transporter	WP2669: Potassium Channels	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	16897043	MetaChatDB
ABCD1	ATP-binding cassette sub-family D member 1 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy protein) (ALDP)	transporter	WP2877: Vitamin D receptor pathway; WP1780: ABC-family proteins mediated transport	HMDB0012930	Docosanoyl-CoA	Lipids and lipid-like molecules			39223112	MetaChatDB
ABCG1	ATP-binding cassette sub-family G member 1 (EC 7.6.2.-) (ATP-binding cassette transporter 8) (White protein homolog)	transporter	WP5012: NR1H2 and NR1H3-mediated signaling; WP1780: ABC-family proteins mediated transport; WP299: Nuclear receptors in lipid metabolism and toxicity	HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	35081353	MetalinkDB
ABCG2	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	HMDB0000151	Estradiol	Lipids and lipid-like molecules	Androgen and Estrogen Metabolism	Blood,Cerebrospinal Fluid (CSF),Saliva,Urine	20110355	MetalinkDB
ABCG2	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	HMDB0031812	Oxfendazole	Organoheterocyclic compounds			15703302	MetalinkDB
ABCG2	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	HMDB0060510	SN-38	Alkaloids and derivatives		Blood,Urine	11688982	MetaChatDB
ABCG2	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	transporter	WP3612: Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	HMDB0001830	Progesterone	Lipids and lipid-like molecules	Steroidogenesis	Blood,Cerebrospinal Fluid (CSF),Urine	18991020	MetalinkDB
ADGRF1	Adhesion G-protein coupled receptor F1 (G protein-coupled receptor 110) (G protein-coupled receptor KPG_012) (G protein-coupled receptor PGR19)	receptor		HMDB0013658	Docosahexaenoyl Ethanolamide	Organic nitrogen compounds			27759003	MetaChatDB
ADGRG3	Adhesion G protein-coupled receptor G3 (G-protein coupled receptor 97) (G-protein coupled receptor PGR26)	receptor	WP4049: Neutrophil degranulation	HMDB0000063	Cortisol	Lipids and lipid-like molecules	Steroidogenesis	Blood,Cerebrospinal Fluid (CSF),Saliva,Urine	33408414	MetaChatDB
ADGRL1	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)	receptor	WP334: GPCRs, class B secretin-like	HMDB0000122	D-Glucose	Organic oxygen compounds	Galactose Metabolism; Glycolysis_Gluconeogenesis; Starch and sucrose metabolism	Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine	37712955	MetaChatDB
ADIPOR2	Adiponectin receptor protein 2 (Progestin and adipoQ receptor family member 2) (Progestin and adipoQ receptor family member II)	receptor	WP1403: AMP-activated protein kinase signaling; WP3934: Leptin and adiponectin	HMDB0001043	Arachidonic acid	Lipids and lipid-like molecules	Arachidonic Acid Metabolism; alpha-Linolenic acid metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	2465609; 2177403	MetaChatDB
ADORA1	Adenosine receptor A1	receptor	WP3594: Circadian rhythm genes; WP4423: G alpha (i) signaling events; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000292	Xanthine	Organoheterocyclic compounds	Purine metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine	31675497	Mebocost
ADORA1	Adenosine receptor A1	receptor	WP3594: Circadian rhythm genes; WP4423: G alpha (i) signaling events; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000050	Adenosine	Nucleosides, nucleotides, and analogues	Glycine, serine and threonine metabolism; Methionine Metabolism; Purine metabolism; Selenocompound metabolism	Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	28598776; 23956030; 31675497; 27747290; 28196272; 33067580;	Mebocost; MetaChatDB; MetalinkDB
ADORA1	Adenosine receptor A1	receptor	WP3594: Circadian rhythm genes; WP4423: G alpha (i) signaling events; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000045	Adenosine monophosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Aspartate Metabolism; Butyrate Metabolism; Cysteine Metabolism; Fatty acid Metabolism; Glutamate Metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Propanoate metabolism; Purine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Thiamine Metabolism; Urea Cycle	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	32417395	Mebocost
ADORA2A	Adenosine receptor A2a	receptor	WP3594: Circadian rhythm genes; WP117: GPCRs, other; WP4427: G alpha (s) signaling events; WP3869: Cannabinoid receptor signaling; WP1873: Signaling by NTRK1; WP4222: Phosphodiesterases in neuronal function; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000045	Adenosine monophosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Aspartate Metabolism; Butyrate Metabolism; Cysteine Metabolism; Fatty acid Metabolism; Glutamate Metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Propanoate metabolism; Purine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Thiamine Metabolism; Urea Cycle	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	39976204	MetalinkDB
ADORA2A	Adenosine receptor A2a	receptor	WP3594: Circadian rhythm genes; WP117: GPCRs, other; WP4427: G alpha (s) signaling events; WP3869: Cannabinoid receptor signaling; WP1873: Signaling by NTRK1; WP4222: Phosphodiesterases in neuronal function; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000050	Adenosine	Nucleosides, nucleotides, and analogues	Glycine, serine and threonine metabolism; Methionine Metabolism; Purine metabolism; Selenocompound metabolism	Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	34255555; 29298852; 28598776; 23956030; 27747290; 17616786; 19635551;	Mebocost; MetaChatDB; MetalinkDB
ADORA2A	Adenosine receptor A2a	receptor	WP3594: Circadian rhythm genes; WP117: GPCRs, other; WP4427: G alpha (s) signaling events; WP3869: Cannabinoid receptor signaling; WP1873: Signaling by NTRK1; WP4222: Phosphodiesterases in neuronal function; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0001847	Caffeine	Organoheterocyclic compounds	Caffeine Metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	21281405	MetaChatDB
ADORA2B	Adenosine receptor A2b	receptor	WP4963: p53 transcriptional gene network; WP4427: G alpha (s) signaling events; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0001173	5'-Methylthioadenosine	Nucleosides, nucleotides, and analogues	Methionine Metabolism	Blood,Feces,Urine	25087184	MetaChatDB
ADORA2B	Adenosine receptor A2b	receptor	WP4963: p53 transcriptional gene network; WP4427: G alpha (s) signaling events; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000050	Adenosine	Nucleosides, nucleotides, and analogues	Glycine, serine and threonine metabolism; Methionine Metabolism; Purine metabolism; Selenocompound metabolism	Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	28598776; 23956030; 23540714; 25087184; 27747290; 22504483; 31570448;	Mebocost; MetaChatDB
ADORA3	Adenosine receptor A3	receptor	WP117: GPCRs, other; WP4423: G alpha (i) signaling events; WP80: Nucleotide GPCRs; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling	HMDB0000050	Adenosine	Nucleosides, nucleotides, and analogues	Glycine, serine and threonine metabolism; Methionine Metabolism; Purine metabolism; Selenocompound metabolism	Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	23956030; 26194548; 28598776	Mebocost
ADRA1A	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)	receptor	WP4424: G alpha (q) signaling events; WP1403: AMP-activated protein kinase signaling; WP4419: Class A/1 (rhodopsin-like receptors); WP58: Monoamine GPCRs; WP455: GPCRs, class A rhodopsin-like; WP4426: G alpha (12/13) signaling events; WP2197: Endothelin pathways	HMDB0000216	Norepinephrine	Benzenoids	Tyrosine metabolism	Blood,Cerebrospinal Fluid (CSF),Urine	https://en.wikipedia.org/wiki/Adrenergic_receptor; 34202543; 36344764	Mebocost; MetalinkDB
ADRA1A	Alpha-1A adrenergic receptor (Alpha-1A adrenoreceptor) (Alpha-1A adrenoceptor) (Alpha-1C adrenergic receptor) (Alpha-adrenergic receptor 1c)	receptor	WP4424: G alpha (q) signaling events; WP1403: AMP-activated protein kinase signaling; WP4419: Class A/1 (rhodopsin-like receptors); WP58: Monoamine GPCRs; WP455: GPCRs, class A rhodopsin-like; WP4426: G alpha (12/13) signaling events; WP2197: Endothelin pathways	HMDB0000068	Epinephrine	Benzenoids	Tyrosine metabolism	Blood,Cerebrospinal Fluid (CSF),Urine	https://en.wikipedia.org/wiki/Adrenergic_receptor; ; 34202543	Mebocost; MetaChatDB; MetalinkDB
ADRA1B	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	receptor	WP4424: G alpha (q) signaling events; WP2877: Vitamin D receptor pathway; WP1403: AMP-activated protein kinase signaling; WP4419: Class A/1 (rhodopsin-like receptors); WP58: Monoamine GPCRs; WP455: GPCRs, class A rhodopsin-like; WP4426: G alpha (12/13) signaling events	HMDB0000068	Epinephrine	Benzenoids	Tyrosine metabolism	Blood,Cerebrospinal Fluid (CSF),Urine	https://en.wikipedia.org/wiki/Adrenergic_receptor	Mebocost
