,Metabolite,Sensor,Metabolite.Pathway,Sensor.Pathway,Metabolite.Names,Long.Range.Channel
10,HMDB0000034,Slc29a3,Purine metabolism,,Adenine,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
11,HMDB0000034,Slc28a3,Purine metabolism,,Adenine,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
12,HMDB0000034,Slc35f5,Purine metabolism,,Adenine,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
13,HMDB0000034,Slc29a2,Purine metabolism,,Adenine,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
14,HMDB0000037,Nr3c2,Steroidogenesis,WP3527: Pre-implantation embryo; WP554: ACE inhibitor pathway,Aldosterone,"Blood,Saliva,Urine"
15,HMDB0000042,Flt1,Amino sugar metabolism; Aspartate metabolism; Pyruvate metabolism,WP1539: Angiogenesis; WP2571: Polycystic kidney disease pathway; WP306: Focal adhesion; WP3640: Imatinib and chronic myeloid leukemia; WP3888: VEGFA-VEGFR2 signaling; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4018: Clear cell renal cell carcinoma pathways; WP4172: PI3K-Akt signaling pathway; WP4223: Ras signaling; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP5087: Pleural mesothelioma; WP5144: NRP1-triggered signaling pathways in pancreatic cancer ; WP5353: Macrophage-stimulating protein (MSP) signaling network map; WP5385: Growth factors and hormones in beta cell proliferation,Acetic acid,"Blood,Breast Milk,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
16,HMDB0000042,Ncoa2,Amino sugar metabolism; Aspartate metabolism; Pyruvate metabolism,WP138: Androgen receptor signaling pathway; WP2355: Corticotropin-releasing hormone signaling pathway; WP236: Adipogenesis; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2882: Nuclear receptors meta-pathway; WP3594: Circadian rhythm genes,Acetic acid,"Blood,Breast Milk,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
17,HMDB0000042,Pth1r,Amino sugar metabolism; Aspartate metabolism; Pyruvate metabolism,"WP322: Osteoblast signaling; WP334: GPCRs, class B secretin-like; WP474: Endochondral ossification; WP4767: FGFR3 signaling in chondrocyte proliferation and terminal differentiation; WP4808: Endochondral ossification with skeletal dysplasias",Acetic acid,"Blood,Breast Milk,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
18,HMDB0000042,Rtn4r,Amino sugar metabolism; Aspartate metabolism; Pyruvate metabolism,WP2431: Spinal cord injury; WP4657: 22q11.2 copy number variation syndrome; WP5366: NF1 copy number variation syndrome ; WP5406: 13q12.12 copy number variation,Acetic acid,"Blood,Breast Milk,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
19,HMDB0000042,Mecr,Amino sugar metabolism; Aspartate metabolism; Pyruvate metabolism,WP357: Fatty acid biosynthesis; WP4317: Mitochondrial fatty acid synthesis pathway,Acetic acid,"Blood,Breast Milk,Breath,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
20,HMDB0000043,Slc6a12,"Glycine, serine and threonine metabolism; Glycine, serine and threonine metabolism; Methionine metabolism",,Betaine,"Blood,Breast Milk,Feces,Saliva,Urine"
21,HMDB0000045,Egfr,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Aspartate metabolism; Butyrate metabolism; Cysteine metabolism; Fatty acid metabolism; Glutamate metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Methionine metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Pantothenate and coa biosynthesis; Phenylalanine and tyrosine metabolism; Phenylalanine metabolism; Propanoate metabolism; Purine metabolism; Pyruvate metabolism; Riboflavin metabolism; Selenocompound metabolism; Thiamine metabolism; Urea cycle","WP138: Androgen receptor signaling pathway; WP2261: Glioblastoma signaling pathways; WP2324: AGE/RAGE pathway; WP2363: Gastric cancer network 2; WP2431: Spinal cord injury; WP2586: Aryl hydrocarbon receptor pathway; WP2643: Nanoparticle-mediated activation of receptor signaling; WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2828: Bladder cancer; WP2840: Hair follicle development: cytodifferentiation - part 3 of 3; WP2868: TCA cycle nutrient use and invasiveness of ovarian cancer; WP2870: Extracellular vesicle-mediated signaling in recipient cells; WP2873: Aryl hydrocarbon receptor pathway; WP2882: Nuclear receptors meta-pathway; WP306: Focal adhesion; WP3303: RAC1/PAK1/p38/MMP2 pathway; WP3611: Photodynamic therapy-induced AP-1 survival signaling; WP3680: Physico-chemical features and toxicity-associated pathways; WP382: MAPK signaling pathway; WP3853: ERK pathway in Huntington's disease; WP3873: RIOK1 and RIOK2 in EGFR- and PI3K-mediated tumorigenesis; WP3927: BMP signaling in eyelid development; WP3931: Embryonic stem cell pluripotency pathways; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4018: Clear cell renal cell carcinoma pathways; WP4155: Endometrial cancer; WP4172: PI3K-Akt signaling pathway; WP4217: Ebola virus infection in host; WP4223: Ras signaling; WP4255: Non-small cell lung cancer; WP4262: Breast cancer pathway; WP4263: Pancreatic adenocarcinoma pathway; WP4300: Extracellular vesicles in the crosstalk of cardiac cells; WP437: EGF/EGFR signaling pathway; WP4483: Relationship between inflammation, COX-2 and EGFR; WP4538: Regulatory circuits of the STAT3 signaling pathway; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4657: 22q11.2 copy number variation syndrome; WP4659: Gastrin signaling pathway; WP4674: Head and neck squamous cell carcinoma; WP4806: EGFR tyrosine kinase inhibitor resistance; WP5087: Pleural mesothelioma; WP51: Regulation of actin cytoskeleton; WP5144: NRP1-triggered signaling pathways in pancreatic cancer ; WP5158: Urotensin-II-mediated signaling pathway; WP5224: 2q37 copy number variation syndrome; WP5300: TROP2 regulatory signaling; WP5362: TAR syndrome; WP5366: NF1 copy number variation syndrome ; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP5426: HDAC6 interactions in the central nervous system; WP5434: Pathways in cancer; WP673: ErbB signaling pathway",Adenosine monophosphate,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
22,HMDB0000045,Adora1,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Aspartate metabolism; Butyrate metabolism; Cysteine metabolism; Fatty acid metabolism; Glutamate metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Methionine metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Pantothenate and coa biosynthesis; Phenylalanine and tyrosine metabolism; Phenylalanine metabolism; Propanoate metabolism; Purine metabolism; Pyruvate metabolism; Riboflavin metabolism; Selenocompound metabolism; Thiamine metabolism; Urea cycle","WP3591: Sleep regulation; WP3594: Circadian rhythm genes; WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling; WP80: Nucleotide GPCRs",Adenosine monophosphate,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
23,HMDB0000045,Ret,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Aspartate metabolism; Butyrate metabolism; Cysteine metabolism; Fatty acid metabolism; Glutamate metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Methionine metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Pantothenate and coa biosynthesis; Phenylalanine and tyrosine metabolism; Phenylalanine metabolism; Propanoate metabolism; Purine metabolism; Pyruvate metabolism; Riboflavin metabolism; Selenocompound metabolism; Thiamine metabolism; Urea cycle",WP236: Adipogenesis; WP2586: Aryl hydrocarbon receptor pathway; WP2855: Dopaminergic neurogenesis; WP4481: Resistin as a regulator of inflammation; WP4823: Genes controlling nephrogenesis; WP4830: GDNF/RET signaling axis; WP5053: Development of ureteric collection system; WP5342: Pathophysiological roles of DUX4 in FSHD1; WP5434: Pathways in cancer; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways; WP716: Vitamin A and carotenoid metabolism,Adenosine monophosphate,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
24,HMDB0000050,Slc29a2,"Glycine, serine and threonine metabolism; Methionine metabolism; Purine metabolism; Selenocompound metabolism",,Adenosine,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
25,HMDB0000050,Ret,"Glycine, serine and threonine metabolism; Methionine metabolism; Purine metabolism; Selenocompound metabolism",WP236: Adipogenesis; WP2586: Aryl hydrocarbon receptor pathway; WP2855: Dopaminergic neurogenesis; WP4481: Resistin as a regulator of inflammation; WP4823: Genes controlling nephrogenesis; WP4830: GDNF/RET signaling axis; WP5053: Development of ureteric collection system; WP5342: Pathophysiological roles of DUX4 in FSHD1; WP5434: Pathways in cancer; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways; WP716: Vitamin A and carotenoid metabolism,Adenosine,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
26,HMDB0000050,Slc29a1,"Glycine, serine and threonine metabolism; Methionine metabolism; Purine metabolism; Selenocompound metabolism",WP1601: Fluoropyrimidine activity; WP3591: Sleep regulation,Adenosine,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
27,HMDB0000050,Adora1,"Glycine, serine and threonine metabolism; Methionine metabolism; Purine metabolism; Selenocompound metabolism","WP3591: Sleep regulation; WP3594: Circadian rhythm genes; WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling; WP80: Nucleotide GPCRs",Adenosine,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
28,HMDB0000050,Adora2a,"Glycine, serine and threonine metabolism; Methionine metabolism; Purine metabolism; Selenocompound metabolism","WP117: GPCRs, other; WP3591: Sleep regulation; WP3594: Circadian rhythm genes; WP3869: Cannabinoid receptor signaling; WP4222: Phosphodiesterases in neuronal function; WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP727: Monoamine transport; WP80: Nucleotide GPCRs",Adenosine,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
29,HMDB0000050,Adora2b,"Glycine, serine and threonine metabolism; Methionine metabolism; Purine metabolism; Selenocompound metabolism","WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling; WP4963: p53 transcriptional gene network; WP80: Nucleotide GPCRs",Adenosine,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
30,HMDB0000050,Adora3,"Glycine, serine and threonine metabolism; Methionine metabolism; Purine metabolism; Selenocompound metabolism","WP117: GPCRs, other; WP455: GPCRs, class A rhodopsin-like; WP4900: Purinergic signaling; WP80: Nucleotide GPCRs",Adenosine,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
