met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
ser_D[e],D-serine,3,C00740,HMDB03406,FALSE,[e],ser_D,ser_D.e.,HMDB0003406
strdnc[e],"stearidonic acid C18:4, n-3",3,C16300,HMDB06547,FALSE,[e],strdnc,strdnc.e.,HMDB0006547
tcynt[e],thiocyanate,3,C01755,HMDB01453,FALSE,[e],tcynt,tcynt.e.,HMDB0001453
thf[e],"5,6,7,8-Tetrahydrofolate",3,C00101,HMDB01846,FALSE,[e],thf,thf.e.,HMDB0001846
thm[e],Thiamin,3,C00378,HMDB00235,FALSE,[e],thm,thm.e.,HMDB0000235
vacc[e],trans-vaccenate,3,C08367,,FALSE,[e],vacc,vacc.e.,
vitd3[e],calciol,3,C05443,HMDB00876,FALSE,[e],vitd3,vitd3.e.,HMDB0000876
f1a[l],F1alpha,3,,,FALSE,[l],f1a,f1a.l.,
ddcaACP[c],Dodecanoyl-ACP (n-C12:0ACP),3,,,FALSE,[c],ddcaACP,ddcaACP.c.,
myrsACP[c],Myristoyl-ACP (n-C14:0ACP),3,,,FALSE,[c],myrsACP,myrsACP.c.,
palmACP[c],Palmitoyl-ACP (n-C16:0ACP),3,,,FALSE,[c],palmACP,palmACP.c.,
lneldc[c],linoelaidic acid (all trans C18:2),3,,HMDB06270,FALSE,[c],lneldc,lneldc.c.,HMDB0006270
pristcoa[c],pristanoyl coa,3,,,FALSE,[c],pristcoa,pristcoa.c.,
phytcoa[c],phytanoyl-CoA(4-),3,C02060,HMDB01359,FALSE,[c],phytcoa,phytcoa.c.,HMDB0001359
nrvnc[c],nervonate,3,C08323,HMDB02368,FALSE,[c],nrvnc,nrvnc.c.,HMDB0002368
Sfglutth[c],S-formylglutathionate(1-),3,C01031,HMDB01550,FALSE,[c],Sfglutth,Sfglutth.c.,HMDB0001550
hpdcacoa[m],heptadecanoyl coa,3,,HMDB06497,FALSE,[m],hpdcacoa,hpdcacoa.m.,HMDB0006497
lneldccoa[m],linoelaidyl coenzyme A,3,,,FALSE,[m],lneldccoa,lneldccoa.m.,
lnlncacoa[m],alpha-Linolenoyl-CoA,3,C16162,HMDB06290,FALSE,[m],lnlncacoa,lnlncacoa.m.,HMDB0006290
dcacoa[c],Decanoyl-CoA (n-C10:0CoA),3,C05274,HMDB06404,FALSE,[c],dcacoa,dcacoa.c.,HMDB0006404
ddcacoa[c],Dodecanoyl-CoA (n-C12:0CoA),3,C01832,HMDB03571,FALSE,[c],ddcacoa,ddcacoa.c.,HMDB0003571
gcald[c],glycolaldehyde,3,C00266,HMDB03344,FALSE,[c],gcald,gcald.c.,HMDB0003344
fuc_L[c],L-fucose,3,C01019,HMDB00174,FALSE,[c],fuc_L,fuc_L.c.,HMDB0000174
Lfmkynr[c],N-formyl-L-kynurenine,3,C02700,HMDB01200,FALSE,[c],Lfmkynr,Lfmkynr.c.,HMDB0001200
for[n],Formate,3,C00058,HMDB00142,FALSE,[n],for,for.n.,HMDB0000142
frdp[x],Farnesyl diphosphate,3,C00448,HMDB00961,FALSE,[x],frdp,frdp.x.,HMDB0000961
ttc_ggdp[c],"trans,trans,cis-Geranylgeranyl diphosphate",3,C11356,,FALSE,[c],ttc_ggdp,ttc_ggdp.c.,
fuc_L[l],L-fucose,3,C01019,HMDB00174,FALSE,[l],fuc_L,fuc_L.l.,HMDB0000174
s2l2n2m2masn[l],de-Fuc form of PA6,3,,,FALSE,[l],s2l2n2m2masn,s2l2n2m2masn.l.,
tsul[m],thiosulfate(2-),3,C05529,HMDB00257,FALSE,[m],tsul,tsul.m.,HMDB0000257
tsul[c],thiosulfate(2-),3,C05529,HMDB00257,FALSE,[c],tsul,tsul.c.,HMDB0000257
acngal14acglcgalgluside_hs[g],Sialyl-3-paragloboside,3,,,FALSE,[g],acngal14acglcgalgluside_hs,acngal14acglcgalgluside_hs.g.,
l2fn2m2masn[g],"{[galactosyl-(1,4)-N-Acetyl-glucosaminyl-(1,2)-mannosyl-(1,3)-],[N-acetyl-glucosaminyl-(1,2)-mannosyl-(1,6)-]mannosyl-(1,4)-N-acetyl-glucosaminyl-(1,4)-[fucosyl-(1,6)]-N-acetyl-glucosaminyl}asparagine",3,,,FALSE,[g],l2fn2m2masn,l2fn2m2masn.g.,
g1m6masnB1[r],glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),3,,,FALSE,[r],g1m6masnB1,g1m6masnB1.r.,
g1m7masnB[r],"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",3,,,FALSE,[r],g1m7masnB,g1m7masnB.r.,
g1m7masnC[r],"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)",3,,,FALSE,[r],g1m7masnC,g1m7masnC.r.,
g2m8masn[r],(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),3,C05874,,FALSE,[r],g2m8masn,g2m8masn.r.,
6pgl[r],"6-phospho-D-glucono-1,5-lactone",3,C01236,HMDB01127,FALSE,[r],6pgl,X6pgl.r.,HMDB0001127
gacpail_hs[r],glucosaminyl-acylphosphatidylinositol,3,,,FALSE,[r],gacpail_hs,gacpail_hs.r.,
ksi_deg26[l],"keratan sulfate I, degradation product 26",3,,,FALSE,[l],ksi_deg26,ksi_deg26.l.,
ksi_deg27[l],"keratan sulfate I, degradation product 27",3,,,FALSE,[l],ksi_deg27,ksi_deg27.l.,
ksi_deg29[l],"keratan sulfate I, degradation product 29",3,,,FALSE,[l],ksi_deg29,ksi_deg29.l.,
ksi_deg30[l],"keratan sulfate I, degradation product 30",3,,,FALSE,[l],ksi_deg30,ksi_deg30.l.,
ksi_deg32[l],"keratan sulfate I, degradation product 32",3,,,FALSE,[l],ksi_deg32,ksi_deg32.l.,
ksi_deg33[l],"keratan sulfate I, degradation product 33",3,,,FALSE,[l],ksi_deg33,ksi_deg33.l.,
ksi_deg35[l],"keratan sulfate I, degradation product 35",3,,,FALSE,[l],ksi_deg35,ksi_deg35.l.,
ksi_deg36[l],"keratan sulfate I, degradation product 36",3,,,FALSE,[l],ksi_deg36,ksi_deg36.l.,
ksi_deg38[l],"keratan sulfate I, degradation product 38",3,,,FALSE,[l],ksi_deg38,ksi_deg38.l.,
ksii_core2_deg3[l],"keratan sulfate II (core 2-linked), degradation product 3",3,,,FALSE,[l],ksii_core2_deg3,ksii_core2_deg3.l.,
ksii_core2_deg6[l],"keratan sulfate II (core 2-linked), degradation product 6",3,,,FALSE,[l],ksii_core2_deg6,ksii_core2_deg6.l.,
ksii_core2_deg8[l],"keratan sulfate II (core 2-linked), degradation product 8",3,,,FALSE,[l],ksii_core2_deg8,ksii_core2_deg8.l.,
ksii_core4_deg3[l],"keratan sulfate II (core 4-linked), degradation product 3",3,,,FALSE,[l],ksii_core4_deg3,ksii_core4_deg3.l.,
ksi_deg6[l],"keratan sulfate I, degradation product 6",3,,,FALSE,[l],ksi_deg6,ksi_deg6.l.,
ksi_deg8[l],"keratan sulfate I, degradation product 8",3,,,FALSE,[l],ksi_deg8,ksi_deg8.l.,
ksi_deg9[l],"keratan sulfate I, degradation product 9",3,,,FALSE,[l],ksi_deg9,ksi_deg9.l.,
ksi_deg11[l],"keratan sulfate I, degradation product 11",3,,,FALSE,[l],ksi_deg11,ksi_deg11.l.,
ksi_deg12[l],"keratan sulfate I, degradation product 12",3,,,FALSE,[l],ksi_deg12,ksi_deg12.l.,
ksi_deg14[l],"keratan sulfate I, degradation product 14",3,,,FALSE,[l],ksi_deg14,ksi_deg14.l.,
ksi_deg15[l],"keratan sulfate I, degradation product 15",3,,,FALSE,[l],ksi_deg15,ksi_deg15.l.,
ksi_deg17[l],"keratan sulfate I, degradation product 17",3,,,FALSE,[l],ksi_deg17,ksi_deg17.l.,
ksi_deg18[l],"keratan sulfate I, degradation product 18",3,,,FALSE,[l],ksi_deg18,ksi_deg18.l.,
ksi_deg20[l],"keratan sulfate I, degradation product 20",3,,,FALSE,[l],ksi_deg20,ksi_deg20.l.,
ksi_deg21[l],"keratan sulfate I, degradation product 21",3,,,FALSE,[l],ksi_deg21,ksi_deg21.l.,
ksi_deg23[l],"keratan sulfate I, degradation product 23",3,,,FALSE,[l],ksi_deg23,ksi_deg23.l.,
ksi_deg24[l],"keratan sulfate I, degradation product 24",3,,,FALSE,[l],ksi_deg24,ksi_deg24.l.,
gm3_hs[g],alpha-N-acetylneuraminosyl-(2->3)-beta-D-galactosyl-(1->4)-beta-D-glucosylceramide(1-),3,,,FALSE,[g],gm3_hs,gm3_hs.g.,
gt3_hs[g],GT3,3,,,FALSE,[g],gt3_hs,gt3_hs.g.,
gal1p[c],"(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl phosphate",3,C00446,HMDB00645,FALSE,[c],gal1p,gal1p.c.,HMDB0000645
cs_hs_linkage[g],chondroitin sulfate/heparan sulfate linkage region (GlcA-(Gal)2-Xyl-L-Ser (protein)),3,,,FALSE,[g],cs_hs_linkage,cs_hs_linkage.g.,
cs_pre[g],chondroitin sulfate precursor (GalNAc-GlcA-(Gal)2-Xyl-L-Ser (protein)),3,C04893,,FALSE,[g],cs_pre,cs_pre.g.,
cs_a_b_pre3[g],"chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 3",3,,,FALSE,[g],cs_a_b_pre3,cs_a_b_pre3.g.,
cs_e_pre4[g],"chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 4",3,,,FALSE,[g],cs_e_pre4,cs_e_pre4.g.,
oagd3_hs[c],9-O-Acetylated GD3,3,,,FALSE,[c],oagd3_hs,oagd3_hs.c.,
oagt3_hs[c],9-O-Acetylated GT3,3,,,FALSE,[c],oagt3_hs,oagt3_hs.c.,
gbside_hs[l],globoside,3,,,FALSE,[l],gbside_hs,gbside_hs.l.,
gmp[g],GMP,3,C00144,HMDB01397,FALSE,[g],gmp,gmp.g.,HMDB0001397
gdpddman[c],GDP-4-dehydro-6-deoxy-alpha-D-mannose(2-),3,C01222,HMDB01346,FALSE,[c],gdpddman,gdpddman.c.,HMDB0001346
glac[c],"D-glucurono-6,3-lactone",3,C02670,HMDB06355,FALSE,[c],glac,glac.c.,HMDB0006355
cs_a_deg2[l],"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 2",3,,,FALSE,[l],cs_a_deg2,cs_a_deg2.l.,
cs_a_deg3[l],"chondroitin sulfate A (GalNAc4S-GlcA), degradation product 3",3,,,FALSE,[l],cs_a_deg3,cs_a_deg3.l.,
cs_c_deg2[l],"chondroitin sulfate C (GalNAc6S-GlcA), degradation product 2",3,,,FALSE,[l],cs_c_deg2,cs_c_deg2.l.,
cs_c_deg3[l],"chondroitin sulfate C (GalNAc6S-GlcA), degradation product 3",3,,,FALSE,[l],cs_c_deg3,cs_c_deg3.l.,
cs_d_deg4[l],"chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 4",3,,,FALSE,[l],cs_d_deg4,cs_d_deg4.l.,
cs_e_deg3[l],"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 3",3,,,FALSE,[l],cs_e_deg3,cs_e_deg3.l.,
cs_e_deg4[l],"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4",3,,,FALSE,[l],cs_e_deg4,cs_e_deg4.l.,
cs_a_b_e_pre1[g],"chondroitin sulfate A (GalNAc4S-GlcA), B (IdoA2S-GalNAc4S), and E (GalNAc4,6diS-GlcA), precursor 1",3,,,FALSE,[g],cs_a_b_e_pre1,cs_a_b_e_pre1.g.,
cs_e_pre2[g],"chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 2",3,,,FALSE,[g],cs_e_pre2,cs_e_pre2.g.,
glcur[r],D-glucuronate,3,C00191,HMDB00127,FALSE,[r],glcur,glcur.r.,HMDB0000127
dxtrn[c],"phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]})",3,,,FALSE,[c],dxtrn,dxtrn.c.,
guln[r],L-gulonate,3,C00800,HMDB03290,FALSE,[r],guln,guln.r.,HMDB0003290
glucys[c],gamma-L-Glutamyl-L-cysteine,3,C00669,HMDB01049,FALSE,[c],glucys,glucys.c.,HMDB0001049
glyc[m],Glycerol,3,C00116,HMDB00131,FALSE,[m],glyc,glyc.m.,HMDB0000131
lgt_S[c],(R)-S-lactoylglutathionate(1-),3,C03451,HMDB01066,FALSE,[c],lgt_S,lgt_S.c.,HMDB0001066
ru5p_D[r],D-ribulose 5-phosphate(2-),3,C00199,HMDB00618,FALSE,[r],ru5p_D,ru5p_D.r.,HMDB0000618
gq1balpha_hs[g],GQ1balpha,3,,,FALSE,[g],gq1balpha_hs,gq1balpha_hs.g.,
gthox[m],Oxidized glutathione,3,C00127,HMDB03337,FALSE,[m],gthox,gthox.m.,HMDB0003337
ahdt[c],"7,8-dihydroneopterin 3'-triphosphate(4-)",3,C04895,HMDB00980,FALSE,[c],ahdt,ahdt.c.,HMDB0000980
ahdt[n],"7,8-dihydroneopterin 3'-triphosphate(4-)",3,C04895,HMDB00980,FALSE,[n],ahdt,ahdt.n.,HMDB0000980
guln[c],L-gulonate,3,C00800,HMDB03290,FALSE,[c],guln,guln.c.,HMDB0003290
emgacpail_hs[r],phosphoethanolaminyl-mannosyl-glucosylaminyl-acylphosphatidylinositol (H5),3,,,FALSE,[r],emgacpail_hs,emgacpail_hs.r.,
em3gacpail_hs[r],phosphoethanolaminyl-trimannosyl-glucosaminyl-acylphosphatidylinositol (H6'),3,,,FALSE,[r],em3gacpail_hs,em3gacpail_hs.r.,
m3emgacpail_hs[r],"(trimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol (M4C)",3,,,FALSE,[r],m3emgacpail_hs,m3emgacpail_hs.r.,
urcan[c],Urocanate,3,C00785,HMDB00301,FALSE,[c],urcan,urcan.c.,HMDB0000301
hmgcoa[x],Hydroxymethylglutaryl-CoA,3,C00356,HMDB01375,FALSE,[x],hmgcoa,hmgcoa.x.,HMDB0001375
cholcoaone[x],"3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestan-26-oyl-CoA(4-)",3,C05467,HMDB06891,FALSE,[x],cholcoaone,cholcoaone.x.,HMDB0006891
eandrstrn[r],16alpha-hydroxydehydroepiandrosterone,3,C05139,HMDB00352,FALSE,[r],eandrstrn,eandrstrn.r.,HMDB0000352
prgstrn[r],progesterone,3,C00410,HMDB01830,FALSE,[r],prgstrn,prgstrn.r.,HMDB0001830
17ahprgnlone[c],17alpha-hydroxypregnenolone,3,C05138,HMDB00363,FALSE,[c],17ahprgnlone,X17ahprgnlone.c.,HMDB0000363
xol7a[r],20-hydroxycholesterol,3,C05500,,FALSE,[r],xol7a,xol7a.r.,
icit[x],Isocitrate,3,C00311,HMDB00193,FALSE,[x],icit,icit.x.,HMDB0000193
3ityr_L[c],3-iodo-L-tyrosine,3,C02515,HMDB00021,FALSE,[c],3ityr_L,X3ityr_L.c.,HMDB0000021
iodine[c],Iodine,3,C01382,HMDB00675,FALSE,[c],iodine,iodine.c.,HMDB0000675
35diotyr[c],"3,5-diiodo-L-tyrosine",3,C01060,HMDB03474,FALSE,[c],35diotyr,X35diotyr.c.,HMDB0003474
xylu_D[c],D-xylulose,3,C00310,HMDB01644,FALSE,[c],xylu_D,xylu_D.c.,HMDB0001644
limnen[c],limonene,3,C00521,HMDB03375,FALSE,[c],limnen,limnen.c.,HMDB0003375
cs_e_deg7[l],"chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 7",3,,,FALSE,[l],cs_e_deg7,cs_e_deg7.l.,
lanost[c],lanosterol,3,C01724,HMDB01251,FALSE,[c],lanost,lanost.c.,HMDB0001251
lanost[r],lanosterol,3,C01724,HMDB01251,FALSE,[r],lanost,lanost.r.,HMDB0001251
11_cis_retfa[c],fatty acid 11-cis-retinol,3,,,FALSE,[c],11_cis_retfa,X11_cis_retfa.c.,
9_cis_retfa[c],fatty acid 9-cis-retinol,3,,,FALSE,[c],9_cis_retfa,X9_cis_retfa.c.,
trypta[c],tryptaminium,3,C00398,HMDB00303,FALSE,[c],trypta,trypta.c.,HMDB0000303
m7masnB[g],"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",3,,,FALSE,[g],m7masnB,m7masnB.g.,
m8masn[r],(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),3,C05876,,FALSE,[r],m8masn,m8masn.r.,
m8masn[g],(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),3,C05876,,FALSE,[g],m8masn,m8masn.g.,
malt[c],Maltose,3,C00208,HMDB00163,FALSE,[c],malt,malt.c.,HMDB0000163
fna5moxam[c],Formyl-N-acetyl-5-methoxykynurenamine,3,C05642,HMDB04259,FALSE,[c],fna5moxam,fna5moxam.c.,HMDB0004259
minohp[c],myo-inositol hexakisphosphate(12-),3,C01204,HMDB03502,FALSE,[c],minohp,minohp.c.,HMDB0003502
mi34p[c],"1D-myo-Inositol 3,4-bisphosphate",3,C04063,HMDB06235,FALSE,[c],mi34p,mi34p.c.,HMDB0006235
mi145p[n],"1D-myo-inositol 1,4,5-trisphosphate(6-)",3,C01245,HMDB01498,FALSE,[n],mi145p,mi145p.n.,HMDB0001498
mi145p[c],"1D-myo-inositol 1,4,5-trisphosphate(6-)",3,C01245,HMDB01498,FALSE,[c],mi145p,mi145p.c.,HMDB0001498
m5masnC[g],(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),3,,,FALSE,[g],m5masnC,m5masnC.g.,
mmcoa_R[m],(R)-methylmalonyl-CoA(5-),3,C00683,HMDB01269,FALSE,[m],mmcoa_R,mmcoa_R.m.,HMDB0001269
cs_b_deg2[l],"chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 2",3,,,FALSE,[l],cs_b_deg2,cs_b_deg2.l.,
cs_d_deg2[l],"chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 2",3,,,FALSE,[l],cs_d_deg2,cs_d_deg2.l.,
cs_d_deg6[l],"chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 6",3,,,FALSE,[l],cs_d_deg6,cs_d_deg6.l.,
pi[g],hydrogenphosphate,3,C00009,HMDB00973,FALSE,[g],pi,pi.g.,HMDB0001429
nicrns[c],Nicotinate D-ribonucleoside,3,C05841,HMDB06809,FALSE,[c],nicrns,nicrns.c.,HMDB0006809
nwharg[c],N-(omega)-Hydroxyarginine,3,C05933,HMDB04224,FALSE,[c],nwharg,nwharg.c.,HMDB0004224
xtsn[c],xanthosine,3,C01762,HMDB00299,FALSE,[c],xtsn,xtsn.c.,HMDB0000299
thymd[m],Thymidine,3,C00214,HMDB00273,FALSE,[m],thymd,thymd.m.,HMDB0000273
o2s[m],superoxide,3,C00704,HMDB02168,FALSE,[m],o2s,o2s.m.,HMDB0002168
oretn[c],4-oxo-retinoic acid,3,C16678,HMDB06285,FALSE,[c],oretn,oretn.c.,HMDB0006285
13_cis_oretn[c],13-cis-oxo-retinoic acid,3,,,FALSE,[c],13_cis_oretn,X13_cis_oretn.c.,
xol27oh[r],26-hydroxycholesterol,3,C15610,HMDB02103,FALSE,[r],xol27oh,xol27oh.r.,HMDB0002103
pac[c],phenylacetate,3,C07086,HMDB00209,FALSE,[c],pac,pac.c.,HMDB0000209
paf_hs[c],1-alkyl 2-acteylglycerol 3-phosphocholine,3,,,FALSE,[c],paf_hs,paf_hs.c.,
am6sa[c],2-aminomuconate 6-semialdehyde(1-),3,C03824,HMDB01280,FALSE,[c],am6sa,am6sa.c.,HMDB0001280
pacald[c],phenylacetaldehyde,3,C00601,HMDB06236,FALSE,[c],pacald,pacald.c.,HMDB0006236
prostgi2[r],prostaglandin I2(1-),3,C01312,HMDB01335,FALSE,[r],prostgi2,prostgi2.r.,HMDB0001335
pail35p_hs[c],"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)",3,,,FALSE,[c],pail35p_hs,pail35p_hs.c.,
pail35p_hs[r],"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)",3,,,FALSE,[r],pail35p_hs,pail35p_hs.r.,
4ppan[c],D-4'-Phosphopantothenate,3,C03492,HMDB01016,FALSE,[c],4ppan,X4ppan.c.,HMDB0001016
pppi[c],triphosphate(5-),3,C00536,HMDB03379,FALSE,[c],pppi,pppi.c.,HMDB0003379
prpncoa[m],acryloyl-CoA(4-),3,C00894,HMDB02307,FALSE,[m],prpncoa,prpncoa.m.,HMDB0002307
pro_D[c],D-proline,3,C00763,HMDB03411,FALSE,[c],pro_D,pro_D.c.,HMDB0003411
6pthp[c],"6-pyruvoyl-5,6,7,8-tetrahydropterin",3,C03684,HMDB01195,FALSE,[c],6pthp,X6pthp.c.,HMDB0001195
13_cis_retnglc[c],13-cis-retinoyl glucuronide,3,C11061,HMDB03141,FALSE,[c],13_cis_retnglc,X13_cis_retnglc.c.,HMDB0003141
saccrp_L[m],L-saccharopinate(1-),3,C00449,HMDB00279,FALSE,[m],saccrp_L,saccrp_L.m.,HMDB0000279
sph1p[r],"(2S,3R)-2-azaniumyl-3-hydroxyoctadecyl phosphate",3,C01120,HMDB01383,FALSE,[r],sph1p,sph1p.r.,HMDB0001383
sphs1p[r],sphingosine 1-phosphate(1-),3,C06124,HMDB00277,FALSE,[r],sphs1p,sphs1p.r.,HMDB0000277
selcys[c],selenocysteine,3,C05688,HMDB03288,FALSE,[c],selcys,selcys.c.,HMDB0003288
seln[c],Selenide,3,C01528,HMDB11110,FALSE,[c],seln,seln.c.,HMDB0011110
spc_hs[c],sphingosylphosphorylcholine,3,C03640,HMDB06482,FALSE,[c],spc_hs,spc_hs.c.,HMDB0006482
xolest_hs[c],cholesterol ester,3,,,FALSE,[c],xolest_hs,xolest_hs.c.,
sql[r],squalene,3,C00751,HMDB00256,FALSE,[r],sql,sql.r.,HMDB0000256
gm1b_hs[g],GM1b,3,,,FALSE,[g],gm1b_hs,gm1b_hs.g.,
gt1b_hs[g],GT1b,3,,,FALSE,[g],gt1b_hs,gt1b_hs.g.,
gq1c_hs[g],GQ1c,3,,,FALSE,[g],gq1c_hs,gq1c_hs.g.,
e4p[c],D-Erythrose 4-phosphate,3,C00279,HMDB01321,FALSE,[c],e4p,e4p.c.,HMDB0001321
tcynt[m],thiocyanate,3,C01755,HMDB01453,FALSE,[m],tcynt,tcynt.m.,HMDB0001453
tdchola[x],taurochenodeoxycholate,3,C05465,HMDB00951,FALSE,[x],tdchola,tdchola.x.,HMDB0000951
thcholstoic[x],"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate",3,C04722,HMDB03873,FALSE,[x],thcholstoic,thcholstoic.x.,HMDB0000601
thmtp[c],thiamine(1+) triphosphate(4-),3,C03028,HMDB01512,FALSE,[c],thmtp,thmtp.c.,HMDB0001512
txa2[r],thromboxane A2(1-),3,C02198,HMDB01452,FALSE,[r],txa2,txa2.r.,HMDB0001452
udpg[r],UDPglucose,3,C00029,HMDB00286,FALSE,[r],udpg,udpg.r.,HMDB0000286
urate[x],Urate,3,C00366,HMDB00289,FALSE,[x],urate,urate.x.,HMDB0000289
vitd3[m],calciol,3,C05443,HMDB00876,FALSE,[m],vitd3,vitd3.m.,HMDB0000876
thcholstoic[r],"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate",3,C04722,HMDB03873,FALSE,[r],thcholstoic,thcholstoic.r.,HMDB0000601
xolest2_hs[c],cholesterol ester,3,,,FALSE,[c],xolest2_hs,xolest2_hs.c.,
fad[e],Flavin adenine dinucleotide oxidized,3,C00016,HMDB01248,FALSE,[e],fad,fad.e.,HMDB0001248
orot[e],Orotate,3,C00295,HMDB00226,FALSE,[e],orot,orot.e.,HMDB0000226
ptrc[e],Putrescine,3,C00134,HMDB01414,FALSE,[e],ptrc,ptrc.e.,HMDB0001414
HC00617[c],Ferricytochrome b5,3,,,FALSE,[c],HC00617,HC00617.c.,
HC00619[c],Ferrocytochrome b5,3,C00999,,FALSE,[c],HC00619,HC00619.c.,
HC01434[m],oxalatosuccinate(3-),3,C05379,HMDB03974,FALSE,[m],HC01434,HC01434.m.,HMDB0003974
cdp[e],CDP,3,C00112,HMDB01546,FALSE,[e],cdp,cdp.e.,HMDB0001546
lac_L[x],(S)-lactate,3,C00186,HMDB00190,FALSE,[x],lac_L,lac_L.x.,HMDB0000190
glyc3p[x],Glycerol 3-phosphate,3,C00093,HMDB00126,FALSE,[x],glyc3p,glyc3p.x.,HMDB0000126
HC01162[c],"(2R,4S,5R,6R)-2-[({[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphinato)oxy]-4-hydroxy-5-(2-hydroxyacetamido)-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylate",3,C03691,,FALSE,[c],HC01162,HC01162.c.,
HC00695[m],S-Succinyldihydrolipoamide,3,C01169,HMDB01177,FALSE,[m],HC00695,HC00695.m.,HMDB0001177
2mpdhl[m],S-(2-Methylpropanoyl)-dihydrolipoamide,3,C04424,HMDB06868,FALSE,[m],2mpdhl,X2mpdhl.m.,HMDB0006868
HC00361[c],"sedoheptulose 1,7-bisphosphate(4-)",3,C00447,,FALSE,[c],HC00361,HC00361.c.,
HC10855[c],linoleic-Carnitine,3,,,FALSE,[c],HC10855,HC10855.c.,
HC10852[r],palmitoleyl-CoA(4-),3,,,FALSE,[r],HC10852,HC10852.r.,
HC10854[c],palmitoleoyl-Carnitine,3,,,FALSE,[c],HC10854,HC10854.c.,
dtdp[e],dTDP,3,C00363,HMDB01274,FALSE,[e],dtdp,dtdp.e.,HMDB0001274
cholate[r],Cholate,3,C00695,HMDB00619,FALSE,[r],cholate,cholate.r.,HMDB0000619
HC01231[c],N-[(R)-pantothenoyl]-L-cysteinate,3,C04079,HMDB06834,FALSE,[c],HC01231,HC01231.c.,HMDB0006834
L2aadp6sa[c],L-allysine,3,C04076,HMDB01263,FALSE,[c],L2aadp6sa,L2aadp6sa.c.,HMDB0001263
HC01415[m],(2E)-Octenoyl-CoA,3,C05276,HMDB03949,FALSE,[m],HC01415,HC01415.m.,HMDB0003949
HC00955[e],L-3-Cyanoalanine,3,C02512,,FALSE,[e],HC00955,HC00955.e.,
HC01412[m],trans-tetradec-2-enoyl-CoA(4-),3,,,FALSE,[m],HC01412,HC01412.m.,
HC01409[m],Hexanoyl-CoA,3,C05270,HMDB02845,FALSE,[m],HC01409,HC01409.m.,HMDB0002845
HC01410[m],(2E)-Hexenoyl-CoA,3,C05271,HMDB03944,FALSE,[m],HC01410,HC01410.m.,HMDB0003944
xoltetrol[c],"5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol",3,C05446,HMDB01231,FALSE,[c],xoltetrol,xoltetrol.c.,HMDB0001231
HC00001[c],Albumin,3,,,FALSE,[c],HC00001,HC00001.c.,
HC00001[e],Albumin,3,,,FALSE,[e],HC00001,HC00001.e.,
HC00002[c],Antichymotrypsin,3,,,FALSE,[c],HC00002,HC00002.c.,
HC00002[e],Antichymotrypsin,3,,,FALSE,[e],HC00002,HC00002.e.,
HC00003[c],Antitrypsin,3,,,FALSE,[c],HC00003,HC00003.c.,
HC00003[e],Antitrypsin,3,,,FALSE,[e],HC00003,HC00003.e.,
HC00004[e],ApoA1,3,,,FALSE,[e],HC00004,HC00004.e.,
